CPMG train data
Estimated phase correction: -2.102316 rad
time in s	real part	imag part	abs value
0.000067	-0.091902	-0.151443	0.177147
0.000127	-0.080871	-0.140657	0.162249
0.000187	-0.086354	-0.149551	0.172692
0.000247	-0.090636	-0.149918	0.175187
0.000307	-0.081124	-0.145641	0.166710
0.000367	-0.089694	-0.152243	0.176701
0.000427	-0.088213	-0.144941	0.169674
0.000487	-0.080082	-0.149443	0.169548
0.000547	-0.094639	-0.148347	0.175964
0.000607	-0.080632	-0.146457	0.167186
0.000667	-0.087247	-0.151057	0.174443
0.000727	-0.090648	-0.146380	0.172175
0.000787	-0.080035	-0.148737	0.168903
0.000847	-0.091520	-0.149331	0.175144
0.000907	-0.085676	-0.145638	0.168970
0.000967	-0.081675	-0.151689	0.172280
0.001027	-0.092884	-0.146447	0.173419
0.001087	-0.081268	-0.148776	0.169525
0.001147	-0.086988	-0.149308	0.172800
0.001207	-0.090326	-0.145319	0.171103
0.001267	-0.079576	-0.151117	0.170788
0.001327	-0.091294	-0.147364	0.173352
0.001387	-0.084939	-0.147192	0.169942
0.001447	-0.083096	-0.150627	0.172028
0.001507	-0.092066	-0.144752	0.171550
0.001567	-0.080964	-0.150530	0.170922
0.001627	-0.087976	-0.148122	0.172278
0.001687	-0.088772	-0.145906	0.170790
0.001747	-0.080107	-0.151689	0.171542
0.001807	-0.090664	-0.145861	0.171742
0.001867	-0.083107	-0.148514	0.170186
0.001927	-0.083734	-0.149973	0.171765
0.001987	-0.091320	-0.145236	0.171560
0.002047	-0.081027	-0.151622	0.171914
0.002107	-0.088225	-0.146637	0.171132
0.002167	-0.088175	-0.147206	0.171593
0.002227	-0.081671	-0.150741	0.171444
0.002287	-0.090242	-0.145224	0.170978
0.002347	-0.083791	-0.150673	0.172405
0.002407	-0.084934	-0.148235	0.170843
0.002467	-0.089364	-0.145948	0.171134
0.002527	-0.082998	-0.151014	0.172320
0.002587	-0.087598	-0.145791	0.170084
0.002647	-0.086756	-0.148445	0.171938
0.002707	-0.083034	-0.150184	0.171610
0.002767	-0.089639	-0.145479	0.170878
0.002827	-0.083888	-0.150553	0.172347
0.002887	-0.085412	-0.147182	0.170170
0.002947	-0.088574	-0.147207	0.171800
0.003007	-0.083951	-0.150272	0.172132
0.003067	-0.087420	-0.145548	0.169783
0.003127	-0.086879	-0.148944	0.172430
0.003187	-0.084826	-0.148110	0.170681
0.003247	-0.088197	-0.146051	0.170615
0.003307	-0.085477	-0.150558	0.173130
0.003367	-0.085592	-0.146703	0.169846
0.003427	-0.087488	-0.148430	0.172295
0.003487	-0.085514	-0.149329	0.172081
0.003547	-0.086418	-0.146197	0.169829
0.003607	-0.087016	-0.149794	0.173234
0.003667	-0.085106	-0.147858	0.170602
0.003727	-0.086490	-0.147334	0.170844
0.003787	-0.086596	-0.149839	0.173062
0.003847	-0.085481	-0.146497	0.169612
0.003907	-0.087094	-0.148809	0.172422
0.003967	-0.086342	-0.148336	0.171635
0.004027	-0.085532	-0.146613	0.169738
0.004087	-0.086541	-0.149333	0.172597
0.004147	-0.085879	-0.147101	0.170334
0.004207	-0.086114	-0.147955	0.171191
0.004267	-0.087437	-0.148293	0.172151
0.004327	-0.085412	-0.147184	0.170172
0.004387	-0.086633	-0.148678	0.172077
0.004447	-0.086687	-0.147269	0.170888
0.004507	-0.085913	-0.147472	0.170672
0.004567	-0.087639	-0.149014	0.172875
0.004627	-0.085980	-0.147351	0.170601
0.004687	-0.085694	-0.149198	0.172057
0.004747	-0.087954	-0.147488	0.171723
0.004807	-0.084637	-0.147647	0.170186
0.004867	-0.087165	-0.148348	0.172061
0.004927	-0.087264	-0.146926	0.170886
0.004987	-0.084136	-0.147959	0.170208
0.005047	-0.088022	-0.147919	0.172127
0.005107	-0.085587	-0.147396	0.170442
0.005167	-0.085792	-0.148544	0.171539
0.005227	-0.087474	-0.147041	0.171093
0.005287	-0.084140	-0.148577	0.170747
0.005347	-0.087711	-0.147853	0.171912
0.005407	-0.086921	-0.146643	0.170469
0.005467	-0.085024	-0.148351	0.170989
0.005527	-0.088495	-0.146422	0.171087
0.005587	-0.085610	-0.147963	0.170945
0.005647	-0.086178	-0.147963	0.171230
0.005707	-0.087759	-0.147318	0.171476
0.005767	-0.084573	-0.148571	0.170956
0.005827	-0.087311	-0.147221	0.171165
0.005887	-0.086504	-0.146771	0.170366
0.005947	-0.085490	-0.148267	0.171148
0.006007	-0.088619	-0.146605	0.171307
