CPMG train data
Estimated phase correction: -2.097371 rad
time in s	real part	imag part	abs value
0.000067	-0.090971	-0.153058	0.178052
0.000127	-0.080417	-0.141304	0.162585
0.000187	-0.085507	-0.150382	0.172992
0.000247	-0.091228	-0.150352	0.175864
0.000307	-0.081303	-0.146711	0.167733
0.000367	-0.089690	-0.153078	0.177418
0.000427	-0.087555	-0.146191	0.170405
0.000487	-0.079605	-0.149997	0.169812
0.000547	-0.093764	-0.149615	0.176568
0.000607	-0.080201	-0.147100	0.167542
0.000667	-0.086815	-0.151955	0.175006
0.000727	-0.089782	-0.147560	0.172727
0.000787	-0.079228	-0.149434	0.169137
0.000847	-0.090679	-0.150098	0.175363
0.000907	-0.084835	-0.146477	0.169270
0.000967	-0.081274	-0.151965	0.172334
0.001027	-0.093128	-0.146855	0.173894
0.001087	-0.080929	-0.149669	0.170148
0.001147	-0.087003	-0.149913	0.173331
0.001207	-0.089015	-0.146011	0.171006
0.001267	-0.078740	-0.151939	0.171130
0.001327	-0.091779	-0.148181	0.174301
0.001387	-0.083382	-0.148733	0.170511
0.001447	-0.082804	-0.151314	0.172489
0.001507	-0.090812	-0.145777	0.171749
0.001567	-0.079840	-0.150971	0.170782
0.001627	-0.087102	-0.148951	0.172549
0.001687	-0.087245	-0.147122	0.171045
0.001747	-0.080008	-0.152232	0.171977
0.001807	-0.091365	-0.146123	0.172336
0.001867	-0.082071	-0.150036	0.171016
0.001927	-0.083442	-0.149870	0.171533
0.001987	-0.089646	-0.146133	0.171438
0.002047	-0.080126	-0.152037	0.171859
0.002107	-0.088523	-0.147204	0.171771
0.002167	-0.086618	-0.148677	0.172068
0.002227	-0.081600	-0.151135	0.171757
0.002287	-0.089334	-0.146057	0.171211
0.002347	-0.082343	-0.151862	0.172750
0.002407	-0.084754	-0.148603	0.171073
0.002467	-0.088542	-0.147110	0.171701
0.002527	-0.081300	-0.152238	0.172587
0.002587	-0.088030	-0.146663	0.171053
0.002647	-0.085501	-0.149608	0.172317
0.002707	-0.083394	-0.150315	0.171899
0.002767	-0.088951	-0.146681	0.171545
0.002827	-0.084077	-0.151234	0.173034
0.002887	-0.085311	-0.147670	0.170541
