CPMG train data
Estimated phase correction: -2.384692 rad
time in s	real part	imag part	abs value
0.000067	-0.006505	-0.009092	0.011180
0.000127	-0.008211	-0.004217	0.009231
0.000187	-0.004315	-0.005780	0.007213
0.000247	-0.004941	-0.004232	0.006506
0.000307	-0.003734	-0.003254	0.004953
0.000367	-0.003245	-0.003145	0.004519
0.000427	-0.003188	-0.002592	0.004109
0.000487	-0.002393	-0.002585	0.003523
0.000547	-0.002228	-0.002105	0.003065
0.000607	-0.001844	-0.001392	0.002310
0.000667	-0.001600	-0.001815	0.002420
0.000727	-0.001367	-0.001299	0.001886
0.000787	-0.001350	-0.001079	0.001728
0.000847	-0.001037	-0.001284	0.001651
0.000907	-0.001105	-0.000791	0.001359
0.000967	-0.000889	-0.000885	0.001255
0.001027	-0.001216	-0.000629	0.001369
0.001087	-0.000791	-0.000917	0.001211
0.001147	-0.000665	-0.000651	0.000931
0.001207	-0.000688	-0.000805	0.001059
0.001267	-0.000331	-0.000878	0.000938
0.001327	-0.000636	-0.000652	0.000911
0.001387	-0.000627	-0.000539	0.000827
0.001447	-0.000535	-0.000535	0.000756
0.001507	-0.000578	-0.000301	0.000652
0.001567	-0.000446	-0.000340	0.000561
0.001627	-0.000271	-0.000676	0.000728
0.001687	-0.000530	-0.000508	0.000734
0.001747	-0.000182	-0.000321	0.000369
0.001807	-0.000457	-0.000594	0.000749
0.001867	-0.000201	-0.000259	0.000327
0.001927	-0.000589	-0.000584	0.000829
0.001987	-0.000196	-0.000187	0.000271
0.002047	-0.000148	-0.000282	0.000318
0.002107	-0.000225	-0.000321	0.000392
0.002167	-0.000407	-0.000243	0.000474
0.002227	-0.000325	-0.000510	0.000605
0.002287	-0.000147	-0.000117	0.000188
0.002347	-0.000545	-0.000479	0.000726
0.002407	-0.000370	-0.000109	0.000386
0.002467	-0.000428	-0.000170	0.000460
0.002527	-0.000385	-0.000361	0.000528
0.002587	-0.000133	-0.000375	0.000398
0.002647	-0.000116	-0.000371	0.000389
0.002707	-0.000359	-0.000104	0.000373
0.002767	-0.000057	-0.000505	0.000509
0.002827	-0.000220	-0.000155	0.000269
0.002887	-0.000171	-0.000326	0.000368
0.002947	0.000019	-0.000179	0.000180
0.003007	-0.000385	-0.000116	0.000402
0.003067	-0.000254	-0.000243	0.000352
0.003127	0.000029	-0.000189	0.000191
0.003187	-0.000248	-0.000170	0.000301
0.003247	-0.000244	-0.000218	0.000327
0.003307	-0.000290	-0.000354	0.000458
0.003367	0.000008	-0.000211	0.000212
0.003427	-0.000052	0.000137	0.000147
0.003487	-0.000272	-0.000269	0.000382
0.003547	-0.000365	-0.000161	0.000399
0.003607	-0.000137	0.000124	0.000185
0.003667	-0.000044	-0.000049	0.000066
0.003727	-0.000308	-0.000071	0.000316
0.003787	-0.000293	-0.000262	0.000393
0.003847	-0.000281	-0.000051	0.000286
0.003907	-0.000130	-0.000062	0.000145
0.003967	-0.000058	-0.000008	0.000058
0.004027	-0.000162	-0.000007	0.000162
0.004087	-0.000269	-0.000411	0.000491
0.004147	-0.000199	-0.000236	0.000308
0.004207	-0.000260	-0.000320	0.000413
0.004267	-0.000399	-0.000269	0.000481
0.004327	0.000052	0.000014	0.000054
0.004387	-0.000032	-0.000131	0.000135
0.004447	-0.000137	-0.000334	0.000361
0.004507	-0.000121	-0.000028	0.000125
0.004567	-0.000118	-0.000181	0.000217
0.004627	-0.000208	-0.000093	0.000227
0.004687	-0.000511	-0.000154	0.000534
0.004747	-0.000127	-0.000143	0.000191
0.004807	0.000077	-0.000075	0.000108
0.004867	0.000016	-0.000150	0.000151
0.004927	-0.000331	-0.000004	0.000331
0.004987	-0.000114	-0.000224	0.000251
0.005047	-0.000183	-0.000460	0.000495
0.005107	0.000056	0.000138	0.000149
0.005167	-0.000158	-0.000262	0.000306
0.005227	0.000055	-0.000109	0.000122
0.005287	-0.000209	0.000199	0.000289
0.005347	-0.000244	-0.000122	0.000273
0.005407	0.000069	-0.000045	0.000083
0.005467	-0.000101	-0.000220	0.000242
0.005527	-0.000204	-0.000323	0.000382
0.005587	0.000023	-0.000022	0.000031
0.005647	-0.000070	-0.000277	0.000286
0.005707	0.000075	-0.000048	0.000089
0.005767	-0.000265	-0.000177	0.000319
0.005827	0.000076	-0.000159	0.000177
0.005887	-0.000132	-0.000205	0.000244
0.005947	-0.000146	-0.000032	0.000150
0.006007	-0.000268	0.000030	0.000269
0.006067	-0.000288	0.000087	0.000300
0.006127	-0.000037	-0.000292	0.000294
0.006187	-0.000110	0.000339	0.000357
0.006247	0.000015	0.000001	0.000016
0.006307	-0.000011	-0.000436	0.000436
0.006367	-0.000373	-0.000378	0.000530
0.006427	0.000183	0.000032	0.000186
0.006487	-0.000128	0.000069	0.000145
0.006547	0.000063	-0.000125	0.000140
0.006607	-0.000223	-0.000158	0.000274
0.006667	0.000029	-0.000093	0.000098
0.006727	0.000141	-0.000149	0.000205
0.006787	-0.000253	-0.000411	0.000482
0.006847	-0.000179	-0.000303	0.000352
0.006907	-0.000116	-0.000000	0.000116
0.006967	0.000114	-0.000170	0.000205
0.007027	-0.000281	-0.000086	0.000294
0.007087	-0.000147	-0.000136	0.000200
0.007147	-0.000046	-0.000056	0.000073
0.007207	-0.000138	-0.000276	0.000309
0.007267	0.000154	0.000134	0.000204
0.007327	0.000097	-0.000058	0.000113
0.007387	-0.000039	-0.000241	0.000244
0.007447	-0.000055	0.000123	0.000135
0.007507	-0.000098	-0.000309	0.000324
0.007567	-0.000033	-0.000103	0.000108
0.007627	-0.000120	-0.000171	0.000209
0.007687	-0.000022	-0.000234	0.000235
0.007747	-0.000098	-0.000190	0.000214
0.007807	-0.000091	-0.000014	0.000092
0.007867	-0.000117	0.000048	0.000127
