CPMG train data
Estimated phase correction: -2.090894 rad
time in s	real part	imag part	abs value
0.000067	-0.010306	-0.017010	0.019888
0.000127	-0.007040	-0.012156	0.014047
0.000187	-0.005533	-0.010349	0.011735
0.000247	-0.005281	-0.008848	0.010305
0.000307	-0.003759	-0.006914	0.007870
0.000367	-0.003706	-0.006043	0.007089
0.000427	-0.002955	-0.004757	0.005600
0.000487	-0.002211	-0.004484	0.004999
0.000547	-0.002206	-0.003607	0.004228
0.000607	-0.001759	-0.002985	0.003465
0.000667	-0.001324	-0.003155	0.003422
0.000727	-0.001412	-0.002348	0.002740
0.000787	-0.000881	-0.002248	0.002415
0.000847	-0.001065	-0.001981	0.002249
0.000907	-0.000942	-0.001647	0.001898
0.000967	-0.000860	-0.001426	0.001665
0.001027	-0.000811	-0.001259	0.001498
0.001087	-0.000744	-0.001026	0.001268
0.001147	-0.000785	-0.001293	0.001513
0.001207	-0.000464	-0.001003	0.001105
0.001267	-0.000442	-0.000900	0.001003
0.001327	-0.000637	-0.000700	0.000946
0.001387	-0.000268	-0.000565	0.000625
0.001447	-0.000318	-0.000825	0.000884
0.001507	-0.000453	-0.000613	0.000762
0.001567	-0.000555	-0.000586	0.000807
0.001627	-0.000328	-0.000548	0.000638
0.001687	-0.000381	-0.000571	0.000687
0.001747	-0.000109	-0.000291	0.000311
0.001807	-0.000177	-0.000392	0.000430
0.001867	-0.000062	-0.000675	0.000678
0.001927	-0.000359	-0.000494	0.000610
0.001987	-0.000223	-0.000687	0.000723
0.002047	-0.000202	-0.000415	0.000461
0.002107	-0.000315	-0.000406	0.000514
0.002167	-0.000226	-0.000471	0.000523
0.002227	-0.000167	-0.000272	0.000319
0.002287	-0.000300	-0.000361	0.000470
0.002347	0.000066	-0.000161	0.000174
0.002407	-0.000345	-0.000206	0.000402
0.002467	-0.000238	-0.000390	0.000457
0.002527	-0.000398	-0.000071	0.000405
0.002587	-0.000133	-0.000239	0.000274
0.002647	-0.000167	-0.000439	0.000470
0.002707	-0.000282	-0.000311	0.000420
0.002767	-0.000260	-0.000379	0.000460
0.002827	0.000054	-0.000255	0.000260
0.002887	-0.000295	-0.000230	0.000374
0.002947	-0.000052	-0.000318	0.000322
0.003007	0.000036	-0.000531	0.000532
0.003067	0.000049	-0.000191	0.000197
0.003127	0.000028	-0.000447	0.000447
0.003187	-0.000031	-0.000304	0.000306
0.003247	-0.000245	-0.000261	0.000358
0.003307	-0.000298	-0.000240	0.000382
0.003367	-0.000380	-0.000425	0.000570
0.003427	-0.000240	-0.000286	0.000373
0.003487	-0.000233	-0.000113	0.000259
0.003547	-0.000118	-0.000186	0.000221
0.003607	-0.000322	-0.000189	0.000374
0.003667	-0.000223	-0.000161	0.000275
