CPMG train data
Estimated phase correction: -2.098853 rad
time in s	real part	imag part	abs value
0.000067	-0.091056	-0.150608	0.175994
0.000127	-0.080150	-0.140778	0.161996
0.000187	-0.085052	-0.149546	0.172040
0.000247	-0.090813	-0.149994	0.175343
0.000307	-0.081014	-0.145542	0.166571
0.000367	-0.089613	-0.151870	0.176337
0.000427	-0.087826	-0.145355	0.169828
0.000487	-0.078805	-0.148657	0.168254
0.000547	-0.093535	-0.148512	0.175512
0.000607	-0.080023	-0.146204	0.166672
0.000667	-0.085922	-0.151278	0.173976
0.000727	-0.090192	-0.145598	0.171270
0.000787	-0.078955	-0.148624	0.168294
0.000847	-0.089717	-0.148770	0.173729
0.000907	-0.085118	-0.145018	0.168153
0.000967	-0.081142	-0.151309	0.171693
0.001027	-0.092804	-0.145807	0.172836
0.001087	-0.080378	-0.149047	0.169339
0.001147	-0.085974	-0.149379	0.172353
0.001207	-0.089925	-0.145117	0.170720
0.001267	-0.078851	-0.150222	0.169659
0.001327	-0.090579	-0.147067	0.172723
0.001387	-0.084267	-0.146709	0.169188
0.001447	-0.082278	-0.150455	0.171483
0.001507	-0.091434	-0.145491	0.171836
0.001567	-0.080125	-0.149520	0.169635
0.001627	-0.086378	-0.147722	0.171123
0.001687	-0.088495	-0.146215	0.170910
0.001747	-0.079705	-0.151211	0.170932
0.001807	-0.090432	-0.145951	0.171697
0.001867	-0.082977	-0.148897	0.170457
0.001927	-0.083575	-0.148723	0.170597
0.001987	-0.089731	-0.145206	0.170694
0.002047	-0.080081	-0.150696	0.170652
0.002107	-0.087448	-0.146569	0.170674
0.002167	-0.087060	-0.147120	0.170949
0.002227	-0.080205	-0.150584	0.170612
0.002287	-0.088800	-0.144518	0.169619
0.002347	-0.083179	-0.150010	0.171528
0.002407	-0.083824	-0.148111	0.170186
0.002467	-0.089196	-0.145908	0.171012
0.002527	-0.082152	-0.150739	0.171672
0.002587	-0.086413	-0.145261	0.169021
0.002647	-0.085482	-0.148119	0.171015
0.002707	-0.082113	-0.149677	0.170721
0.002767	-0.088294	-0.145575	0.170259
0.002827	-0.083574	-0.150150	0.171842
0.002887	-0.084873	-0.147563	0.170230
0.002947	-0.087946	-0.146633	0.170985
0.003007	-0.083037	-0.150062	0.171504
0.003067	-0.086402	-0.145408	0.169141
0.003127	-0.085708	-0.149028	0.171917
0.003187	-0.083862	-0.148348	0.170411
0.003247	-0.086909	-0.145222	0.169241
0.003307	-0.084509	-0.150430	0.172543
