CPMG train data
Estimated phase correction: -2.084352 rad
time in s	real part	imag part	abs value
0.000068	-0.060279	-0.098368	0.115368
0.000128	-0.043933	-0.083157	0.094049
0.000188	-0.038117	-0.065104	0.075441
0.000248	-0.030792	-0.056378	0.064239
0.000308	-0.026678	-0.047177	0.054198
0.000368	-0.022196	-0.039968	0.045718
0.000428	-0.019355	-0.034528	0.039583
0.000488	-0.016685	-0.029098	0.033542
0.000548	-0.013977	-0.025375	0.028970
0.000608	-0.012618	-0.021945	0.025314
0.000668	-0.010371	-0.019071	0.021708
0.000728	-0.009439	-0.016629	0.019121
0.000788	-0.008366	-0.014670	0.016888
0.000848	-0.007075	-0.012893	0.014707
0.000908	-0.006658	-0.011657	0.013424
0.000968	-0.006065	-0.010419	0.012055
0.001028	-0.005160	-0.009374	0.010700
0.001088	-0.004611	-0.008193	0.009401
0.001148	-0.004224	-0.007799	0.008869
0.001208	-0.003813	-0.006916	0.007898
0.001268	-0.003489	-0.006378	0.007270
0.001328	-0.003457	-0.005946	0.006878
0.001388	-0.002958	-0.005201	0.005983
0.001448	-0.003069	-0.005232	0.006066
0.001508	-0.002736	-0.005011	0.005709
0.001568	-0.002449	-0.004610	0.005220
0.001628	-0.002443	-0.004322	0.004964
0.001688	-0.002293	-0.004009	0.004618
0.001748	-0.002303	-0.003757	0.004406
0.001808	-0.001932	-0.003502	0.003999
0.001868	-0.001943	-0.003658	0.004142
0.001928	-0.001910	-0.003465	0.003956
0.001988	-0.001953	-0.003211	0.003758
0.002048	-0.001900	-0.003148	0.003677
0.002108	-0.001691	-0.003046	0.003484
0.002168	-0.001801	-0.002921	0.003431
0.002228	-0.001612	-0.002917	0.003333
0.002288	-0.001695	-0.002609	0.003111
0.002348	-0.001458	-0.002748	0.003111
0.002408	-0.001452	-0.002756	0.003115
0.002468	-0.001559	-0.002783	0.003190
0.002528	-0.001451	-0.002546	0.002931
0.002588	-0.001399	-0.002385	0.002765
0.002648	-0.001528	-0.002528	0.002954
0.002708	-0.001530	-0.002533	0.002959
0.002768	-0.001479	-0.002346	0.002773
0.002828	-0.001177	-0.002343	0.002623
