CPMG train data
Estimated phase correction: -2.168882 rad
time in s	real part	imag part	abs value
0.000068	-0.001250	-0.001952	0.002317
0.000128	-0.001247	-0.000777	0.001469
0.000188	-0.000781	-0.001207	0.001438
0.000248	-0.000903	-0.001106	0.001428
0.000308	-0.000563	-0.000887	0.001051
0.000368	-0.000443	-0.000958	0.001055
0.000428	-0.000462	-0.000850	0.000967
0.000488	-0.000533	-0.000723	0.000898
0.000548	-0.000308	-0.000691	0.000756
0.000608	-0.000319	-0.000682	0.000753
0.000668	-0.000458	-0.000690	0.000829
0.000728	-0.000470	-0.000494	0.000682
0.000788	-0.000330	-0.000448	0.000557
0.000848	-0.000254	-0.000694	0.000739
0.000908	-0.000241	-0.000498	0.000553
0.000968	-0.000290	-0.000707	0.000765
0.001028	-0.000246	-0.000543	0.000596
0.001088	-0.000257	-0.000619	0.000670
0.001148	-0.000238	-0.000368	0.000439
0.001208	-0.000434	-0.000422	0.000605
0.001268	-0.000330	-0.000402	0.000520
0.001328	-0.000148	-0.000268	0.000306
0.001388	-0.000444	-0.000419	0.000611
0.001448	-0.000188	-0.000606	0.000634
0.001508	-0.000246	-0.000445	0.000508
0.001568	-0.000278	-0.000257	0.000379
0.001628	0.000103	-0.000611	0.000619
0.001688	-0.000197	-0.000226	0.000300
0.001748	-0.000279	-0.000236	0.000365
0.001808	0.000173	-0.000362	0.000402
0.001868	-0.000226	-0.000252	0.000339
0.001928	-0.000247	-0.000456	0.000519
0.001988	-0.000224	-0.000345	0.000411
0.002048	-0.000276	-0.000263	0.000381
0.002108	-0.000179	-0.000250	0.000308
0.002168	-0.000271	-0.000160	0.000314
0.002228	-0.000042	-0.000265	0.000268
0.002288	-0.000020	-0.000287	0.000288
0.002348	-0.000116	-0.000396	0.000413
0.002408	-0.000240	-0.000092	0.000257
0.002468	-0.000290	-0.000094	0.000305
0.002528	-0.000177	-0.000294	0.000343
0.002588	-0.000114	-0.000257	0.000281
0.002648	-0.000299	-0.000153	0.000336
0.002708	-0.000176	-0.000452	0.000485
0.002768	-0.000126	-0.000243	0.000274
0.002828	-0.000189	-0.000326	0.000377
0.002888	-0.000114	-0.000233	0.000259
0.002948	-0.000065	-0.000272	0.000280
0.003008	-0.000073	-0.000415	0.000421
0.003068	0.000058	-0.000461	0.000464
0.003128	-0.000267	-0.000412	0.000491
0.003188	-0.000217	-0.000385	0.000442
0.003248	0.000153	-0.000287	0.000325
0.003308	-0.000148	-0.000160	0.000218
0.003368	-0.000081	-0.000264	0.000276
0.003428	-0.000040	-0.000189	0.000193
0.003488	-0.000062	-0.000195	0.000204
0.003548	-0.000158	-0.000036	0.000162
0.003608	-0.000230	-0.000289	0.000369
0.003668	-0.000149	-0.000266	0.000305
0.003728	-0.000153	-0.000203	0.000254
0.003788	-0.000333	-0.000054	0.000337
0.003848	-0.000037	-0.000183	0.000187
0.003908	-0.000089	-0.000232	0.000249
0.003968	-0.000152	-0.000159	0.000219
0.004028	-0.000150	-0.000058	0.000161
0.004088	-0.000135	-0.000199	0.000240
0.004148	-0.000130	-0.000278	0.000307
0.004208	-0.000181	-0.000048	0.000187
0.004268	-0.000190	-0.000361	0.000408
0.004328	-0.000248	-0.000243	0.000347
0.004388	-0.000002	-0.000189	0.000189
0.004448	-0.000143	-0.000107	0.000179
0.004508	-0.000113	-0.000172	0.000205
0.004568	0.000028	-0.000369	0.000370
0.004628	-0.000051	-0.000200	0.000206
0.004688	-0.000153	-0.000213	0.000262
0.004748	-0.000007	-0.000254	0.000254
0.004808	-0.000158	-0.000220	0.000271
0.004868	-0.000059	-0.000130	0.000143
0.004928	-0.000133	-0.000171	0.000217
0.004988	-0.000037	-0.000061	0.000072
0.005048	-0.000117	-0.000231	0.000259
0.005108	-0.000426	-0.000177	0.000461
0.005168	-0.000063	-0.000309	0.000315
0.005228	0.000076	-0.000233	0.000245
0.005288	-0.000161	-0.000168	0.000233
0.005348	0.000096	-0.000333	0.000347
0.005408	-0.000246	-0.000099	0.000265
0.005468	-0.000046	-0.000090	0.000101
0.005528	-0.000141	-0.000144	0.000202
0.005588	-0.000107	-0.000265	0.000286
0.005648	-0.000137	-0.000423	0.000445
0.005708	-0.000001	-0.000071	0.000071
0.005768	-0.000204	-0.000399	0.000448
0.005828	-0.000090	-0.000191	0.000211
0.005888	-0.000101	-0.000150	0.000181
0.005948	-0.000084	-0.000246	0.000259
0.006008	-0.000128	-0.000108	0.000167
0.006068	-0.000180	-0.000214	0.000280
0.006128	0.000083	0.000120	0.000145
0.006188	-0.000049	-0.000191	0.000197
0.006248	-0.000021	0.000051	0.000055
0.006308	-0.000054	-0.000038	0.000066
0.006368	-0.000322	-0.000145	0.000353
0.006428	0.000143	-0.000220	0.000262
0.006488	-0.000312	-0.000131	0.000338
0.006548	-0.000136	-0.000108	0.000174
0.006608	0.000008	-0.000304	0.000304
0.006668	-0.000228	-0.000190	0.000296
0.006728	-0.000036	-0.000381	0.000383
0.006788	-0.000054	-0.000168	0.000177
0.006848	-0.000141	-0.000313	0.000343
0.006908	-0.000234	-0.000168	0.000288
0.006968	-0.000203	-0.000219	0.000299
0.007028	0.000093	-0.000004	0.000093
0.007088	-0.000252	-0.000286	0.000381
0.007148	-0.000105	-0.000269	0.000289
0.007208	0.000039	-0.000010	0.000040
0.007268	-0.000108	-0.000189	0.000217
0.007328	-0.000040	-0.000138	0.000144
0.007388	-0.000213	-0.000214	0.000302
0.007448	-0.000141	-0.000275	0.000309
0.007508	-0.000162	-0.000027	0.000164
0.007568	-0.000065	-0.000118	0.000135
0.007628	0.000087	-0.000464	0.000472
0.007688	-0.000059	-0.000229	0.000236
0.007748	-0.000246	-0.000043	0.000250
0.007808	-0.000080	-0.000159	0.000177
0.007868	-0.000133	-0.000162	0.000210
0.007928	-0.000103	-0.000108	0.000149
0.007988	-0.000020	-0.000352	0.000352
0.008048	0.000043	-0.000141	0.000147
0.008108	0.000099	-0.000009	0.000100
0.008168	0.000012	0.000034	0.000036
0.008228	-0.000109	-0.000244	0.000268
0.008288	-0.000133	-0.000044	0.000140
0.008348	-0.000204	-0.000113	0.000233
0.008408	-0.000198	-0.000200	0.000282
0.008468	-0.000119	-0.000171	0.000208
0.008528	-0.000238	-0.000132	0.000272
0.008588	-0.000168	-0.000124	0.000209
0.008648	0.000080	-0.000143	0.000164
0.008708	0.000015	-0.000246	0.000246
0.008768	-0.000035	0.000032	0.000047
0.008828	-0.000177	-0.000071	0.000191
0.008888	-0.000053	-0.000222	0.000228
0.008948	-0.000082	-0.000167	0.000187
0.009008	-0.000122	-0.000173	0.000212
0.009068	-0.000050	-0.000169	0.000176
0.009128	0.000187	0.000012	0.000188
0.009188	-0.000236	-0.000047	0.000241
0.009248	-0.000065	-0.000230	0.000239
0.009308	-0.000120	-0.000062	0.000135
0.009368	0.000145	-0.000129	0.000194
0.009428	-0.000229	-0.000041	0.000232
0.009488	0.000056	0.000098	0.000113
0.009548	-0.000344	-0.000016	0.000344
0.009608	-0.000078	-0.000008	0.000079
0.009668	0.000016	-0.000060	0.000062
0.009728	-0.000098	-0.000196	0.000220
0.009788	0.000095	-0.000033	0.000101
0.009848	-0.000314	-0.000052	0.000319
0.009908	-0.000148	-0.000209	0.000256
0.009968	-0.000103	0.000020	0.000105
0.010028	-0.000411	0.000043	0.000414
0.010088	-0.000102	-0.000203	0.000227
0.010148	-0.000152	-0.000262	0.000303
0.010208	-0.000053	-0.000226	0.000232
0.010268	-0.000188	0.000116	0.000221
0.010328	-0.000091	-0.000015	0.000092
0.010388	-0.000010	-0.000281	0.000281
0.010448	-0.000083	-0.000141	0.000164
0.010508	-0.000169	-0.000136	0.000217
0.010568	-0.000161	-0.000307	0.000347
0.010628	-0.000282	-0.000167	0.000328
0.010688	-0.000213	-0.000038	0.000216
0.010748	-0.000026	0.000089	0.000093
0.010808	-0.000056	-0.000170	0.000179
0.010868	-0.000225	-0.000125	0.000257
0.010928	-0.000025	0.000015	0.000030
0.010988	0.000039	-0.000108	0.000114
0.011048	-0.000255	-0.000248	0.000356
0.011108	-0.000209	-0.000017	0.000210
0.011168	-0.000150	-0.000200	0.000250
0.011228	-0.000125	-0.000122	0.000174
0.011288	-0.000063	-0.000239	0.000247
0.011348	-0.000308	-0.000273	0.000412
0.011408	0.000011	-0.000076	0.000077
0.011468	-0.000300	-0.000225	0.000374
0.011528	-0.000099	-0.000324	0.000339
0.011588	-0.000141	-0.000035	0.000145
0.011648	-0.000085	-0.000062	0.000105
0.011708	-0.000476	-0.000061	0.000480
0.011768	-0.000042	-0.000114	0.000122
0.011828	-0.000169	-0.000052	0.000177
0.011888	-0.000059	-0.000237	0.000244
0.011948	-0.000145	-0.000169	0.000222
0.012008	-0.000210	-0.000323	0.000386
0.012068	0.000027	-0.000109	0.000112
0.012128	-0.000099	-0.000339	0.000353
0.012188	0.000071	-0.000113	0.000134
0.012248	0.000018	-0.000068	0.000070
0.012308	-0.000036	-0.000256	0.000259
0.012368	-0.000178	-0.000098	0.000204
0.012428	-0.000050	-0.000165	0.000172
0.012488	0.000116	-0.000039	0.000122
0.012548	-0.000405	-0.000083	0.000414
0.012608	-0.000179	-0.000239	0.000298
0.012668	-0.000227	-0.000013	0.000227
0.012728	-0.000150	-0.000267	0.000306
0.012788	-0.000096	-0.000109	0.000146
0.012848	-0.000091	-0.000048	0.000103
0.012908	-0.000072	-0.000122	0.000141
0.012968	0.000022	-0.000279	0.000279
0.013028	-0.000283	-0.000239	0.000370
0.013088	-0.000184	0.000044	0.000190
0.013148	-0.000202	-0.000159	0.000257
0.013208	-0.000120	-0.000045	0.000129
0.013268	-0.000236	-0.000032	0.000238
0.013328	0.000033	-0.000004	0.000033
0.013388	-0.000024	-0.000018	0.000030
0.013448	-0.000178	-0.000175	0.000250
0.013508	-0.000129	-0.000144	0.000194
0.013568	0.000040	-0.000229	0.000233
0.013628	-0.000048	0.000051	0.000070
0.013688	-0.000033	-0.000096	0.000101
0.013748	-0.000031	-0.000216	0.000218
0.013808	-0.000068	0.000141	0.000157
0.013868	-0.000102	0.000004	0.000102
0.013928	0.000012	-0.000252	0.000252
0.013988	-0.000136	-0.000293	0.000323
0.014048	-0.000140	-0.000058	0.000151
0.014108	-0.000052	-0.000031	0.000061
0.014168	-0.000125	-0.000093	0.000156
0.014228	-0.000165	-0.000191	0.000252
0.014288	0.000107	-0.000158	0.000191
0.014348	-0.000167	-0.000068	0.000180
0.014408	-0.000195	0.000045	0.000200
0.014468	-0.000099	-0.000137	0.000169
0.014528	-0.000132	-0.000449	0.000468
0.014588	-0.000221	-0.000018	0.000222
0.014648	-0.000097	-0.000240	0.000259
0.014708	-0.000040	0.000024	0.000047
0.014768	-0.000104	-0.000189	0.000216
0.014828	-0.000086	0.000006	0.000087
0.014888	0.000051	-0.000085	0.000099
0.014948	-0.000378	-0.000233	0.000444
0.015008	-0.000176	0.000030	0.000179
0.015068	-0.000210	-0.000181	0.000277
0.015128	-0.000219	-0.000401	0.000456
0.015188	0.000130	-0.000221	0.000257
0.015248	-0.000012	-0.000202	0.000203
0.015308	-0.000191	-0.000359	0.000407
0.015368	0.000018	-0.000113	0.000114
0.015428	-0.000020	0.000054	0.000058
0.015488	-0.000063	-0.000072	0.000095
0.015548	0.000045	-0.000200	0.000205
0.015608	-0.000385	-0.000003	0.000385
0.015668	-0.000001	-0.000044	0.000044
0.015728	-0.000117	-0.000097	0.000152
0.015788	-0.000087	-0.000145	0.000169
0.015848	-0.000164	-0.000161	0.000230
0.015908	-0.000148	0.000092	0.000174
0.015968	-0.000188	-0.000265	0.000325
0.016028	-0.000112	-0.000206	0.000234
0.016088	-0.000077	-0.000109	0.000133
0.016148	-0.000056	0.000154	0.000164
0.016208	-0.000035	-0.000165	0.000169
0.016268	-0.000111	-0.000218	0.000245
0.016328	-0.000097	-0.000223	0.000243
0.016388	0.000011	-0.000335	0.000336
0.016448	0.000057	0.000007	0.000058
0.016508	0.000158	-0.000229	0.000278
0.016568	-0.000127	-0.000160	0.000204
0.016628	0.000002	-0.000053	0.000053
0.016688	-0.000189	-0.000099	0.000214
0.016748	-0.000194	0.000020	0.000195
0.016808	-0.000170	-0.000372	0.000409
0.016868	-0.000202	-0.000085	0.000219
0.016928	0.000070	-0.000045	0.000084
0.016988	-0.000024	-0.000232	0.000233
0.017048	-0.000093	-0.000223	0.000241
0.017108	-0.000029	-0.000140	0.000143
0.017168	0.000042	0.000019	0.000047
