Dist from origin [mm],mean of absValue [nT]
0,0.0058649198690107415
5,0.01163275212063568
10,0.011315520720547588
15,0.010948383619679846
20,0.010582014907950568
25,0.010314215715168388
30,0.010086323237474257
35,0.009949865826957427
40,0.009861901617986465
45,0.009677871297644065
50,0.009519895489479695
55,0.009630053024849218
60,0.009341795452272537
65,0.009427518389380192
70,0.009402090687872792
75,0.009222118741746574
80,0.009125233874033327
85,0.009368492774310176
90,0.00942550390863422
95,0.009620820158354797
100,0.009201664468120306
105,0.009715403573733175
110,0.009756105828897079
115,0.009938606363822673
120,0.009921527702718456
125,0.010179974706848996
130,0.010520087729229114
135,0.010627993650965726
140,0.01080693062504312
145,0.011310918337590696
150,0.011670611593187413
155,0.011939063739078335
160,0.011269947855687796
165,0.001028398085935022
170,0.0002202201983160845
