Dist from origin [mm],mean of absValue [nT]
0,0.0017161511566316004
5,0.003713500576860448
10,0.0033964216331305616
15,0.0030451286231935044
20,0.002802482715202726
25,0.0028326155162409685
30,0.0027552601944914887
35,0.0024226469661153714
40,0.002046686676054006
45,0.001963287205139303
50,0.001886338825125637
55,0.0017345615786695937
60,0.0018430138572486428
65,0.001458543372968652
70,0.001368460440336693
75,0.0013864210891801985
80,0.001375576110886916
85,0.0014473862492942868
90,0.0015542596752591337
95,0.0013799732401440288
100,0.0016021419600163681
105,0.001624270175792791
110,0.0014819442951336476
115,0.0018179711583291877
120,0.001986013040764785
125,0.002142884141993111
130,0.002241277157374009
135,0.002482786738020637
140,0.0025500658774497936
145,0.0030328145325000944
150,0.003554485124581095
155,0.0038220553034016523
160,0.002897147970379649
165,0.0003886006784313581
