Dist from origin [mm],mean of absValue [nT]
0,0.0028533171185687388
5,0.005496661686949827
10,0.0055050547401936
15,0.005592839002786227
20,0.005562196761144499
25,0.0053037057981516296
30,0.005365440838356699
35,0.005441740686519402
40,0.005350489225607597
45,0.005135061655064482
50,0.0052377744976603675
55,0.005303722028839298
60,0.005242890297364763
65,0.005311841630895752
70,0.005301153959093937
75,0.005345317411630834
80,0.005273828936216537
85,0.00517505637383758
90,0.005288771119319445
95,0.0054024908759485405
100,0.005143217380550079
105,0.0052951929925459384
110,0.005368907566451019
115,0.005007097691905217
120,0.005035828052551708
125,0.0053591852490048695
130,0.005161842990076906
135,0.005320675065421809
140,0.005473857429897143
145,0.005322090822013747
150,0.005430353748664058
155,0.005413972614118744
160,0.005518732066637906
165,0.0021339230055294135
170,0.0008577299366158029
