Dist from origin [mm],mean of absValue [nT]
0,0.003291336742730975
5,0.004311663704565242
10,0.0025127476299636724
15,0.00160995667798299
20,0.0014530094151798303
25,0.0014280342344917863
30,0.0014842979431603425
35,0.001826690283673829
40,0.0017685362205404405
45,0.0017361059662054582
50,0.0019764241899667095
55,0.0019469162108688633
60,0.002007643858645884
65,0.0019524664071972923
70,0.002025386333230222
75,0.0020572669001242363
80,0.0021343707878128354
85,0.0019698356298151957
90,0.002058825321191796
95,0.0020116943036267896
100,0.0021461167342388056
105,0.002078378105763796
110,0.0018585953769571985
115,0.0018515011012600337
120,0.0017673748446444878
125,0.0017530366508180155
130,0.001657424205491667
135,0.0015333367396053255
140,0.0012950780599322355
145,0.0014234544277212493
150,0.00208040426584174
155,0.003987033348645376
160,0.0041705234390610555
165,0.00024950358275998777
