Dist from origin [mm],mean of absValue [nT]
0,0.0037771012864238327
5,0.003705211671090066
10,0.0034066196358058434
15,0.0030046382995562314
20,0.0026293283956903006
25,0.0022268915971294006
30,0.0017437785758770714
35,0.0016807375636554674
40,0.0015089376102121286
45,0.0013865280989651249
50,0.001488906162857102
55,0.0012998091217405418
60,0.0014341244549723985
65,0.001397265444669018
70,0.0015856075192267026
75,0.0020276398101116374
80,0.0025250501725683065
85,0.0028165912757953104
90,0.0034078843156824298
95,0.0038369888489047962
100,0.0040803254046265355
105,0.00091943236116771
110,0.00024346969439403482
