Dist from origin [mm],mean of absValue [nT]
0,0.005721894495027602
5,0.010035278649984403
10,0.009801722225245398
15,0.00959125096594253
20,0.009970362115361838
25,0.009641900007705331
30,0.009452397036177129
35,0.009245557435781787
40,0.00946754117237172
45,0.009197475162989627
50,0.009441579489306427
55,0.009354323485726429
60,0.009313275188949834
65,0.0094049847406
70,0.00930942578484848
75,0.009803004883103055
80,0.009451691675334743
85,0.009950879734772787
90,0.008953138914860867
95,0.009315812143746894
100,0.008571924559411737
105,0.00028254593618878474
110,0.0005672608545814855
