Dist from origin [mm],mean of absValue [nT]
0,0.005368574605850681
5,0.009852748687402912
10,0.009876957508844602
15,0.009507411601904641
20,0.009137521844985001
25,0.009189631975804892
30,0.009149795643027774
35,0.009331265171394144
40,0.009297433615805872
45,0.009304198576460199
50,0.009326150924760199
55,0.009238474481325603
60,0.00944784749599209
65,0.009375312476315033
70,0.009366235694724506
75,0.009417634787124197
80,0.00951877219228453
85,0.009267593159756785
90,0.009455385883117354
95,0.009267278574690646
100,0.009365465771751603
105,0.009673135120056495
110,0.009569830173158036
