Dist from origin [mm],mean of absValue [nT]
0,0.0054561277502455305
5,0.009886291026477515
10,0.009844457493744775
15,0.009457602837649034
20,0.009394403667965512
25,0.009443102563431184
30,0.009371564344594468
35,0.009470848838436916
40,0.009541925217443908
45,0.009705418280533229
50,0.009430133241850835
55,0.009412514401347771
60,0.00888393050499739
65,0.009105748105830211
70,0.009525129458749039
75,0.009564423751299208
80,0.009550144941223995
85,0.00931476854437294
90,0.009581221017894563
95,0.009368512549411255
100,0.006191787321738227
105,0.00035500367067186576
110,0.0006462271645546297
