Dist from origin [mm],mean of absValue [nT]
0,0.004784421953955636
5,0.008362742164872884
10,0.008606838822510789
15,0.008283920933562075
20,0.008387068347281089
25,0.008880611414806498
30,0.008489758786666843
35,0.007994745072392374
40,0.007876710397872815
45,0.008551047969841621
50,0.008374164137103419
55,0.00830256036516949
60,0.008358109810487213
65,0.008530409606090026
70,0.008382918783205703
75,0.008670311991351673
80,0.008543609704623664
85,0.008273693590237252
90,0.008472405535892933
95,0.00853521621385896
100,0.005782231909388768
105,0.0002497206435327673
110,0.0005348611141372039
