Dist from origin [mm],mean of absValue [nT]
0,0.006670845321052922
5,0.006974673632685147
10,0.0071874623694085996
15,0.007384531284466819
20,0.007448601712108496
25,0.007540506801722119
30,0.0075144164617728096
35,0.007540902664721717
40,0.007624645085576747
45,0.007548673585460225
50,0.0077811132241969875
55,0.00779592335053489
60,0.008340347270589006
65,0.008019359630577158
70,0.008223211697304222
75,0.007847866306477583
80,0.007783266009858898
85,0.008127997301618688
90,0.007917559913837777
95,0.007886574925546232
100,0.007888457215932334
105,0.007872232725213467
110,0.007957563487947824
115,0.007826102566213395
120,0.007531683307550759
125,0.007498919600010735
130,0.007345698005528011
135,0.007478021132475653
140,0.007177632932305293
145,0.006940052336774249
150,0.006750592376844683
155,0.006140838382543717
160,0.0006875032626585056
165,0.0003853525690683828
170,0.0006401148957735694
