Dist from origin [mm],mean of absValue [nT]
0,0.011706839306577557
5,0.011703779454609842
10,0.010953378598768973
15,0.010479197798360736
20,0.009936091412449034
25,0.00917525982558702
30,0.008968025890495156
35,0.008843882664917412
40,0.008436423179696034
45,0.008283709679738653
50,0.008145118433047152
55,0.007931027389119303
60,0.007707016807788575
65,0.007715654622554464
70,0.007708936367630248
75,0.007742384233970057
80,0.007653844710550491
85,0.0076595356994457525
90,0.007709075998141701
95,0.007670835685063225
100,0.007835200010841111
105,0.00786090181941054
110,0.008246805058983652
115,0.008099970689947689
120,0.008336900835213639
125,0.008885898447738414
130,0.008978242578133986
135,0.009344111115761602
140,0.009817543057161931
145,0.01039436309698065
150,0.010827528671654707
155,0.011487847906386489
160,0.008193509116612548
165,0.000422976307995283
170,0.000245357613901293
