Dist from origin [mm],mean of absValue [nT]
0,0.004589970468009076
5,0.004817532943558142
10,0.005209826919178873
15,0.0052537216304617005
20,0.005355458000898085
25,0.0055397315832362804
30,0.005341744813013505
35,0.005629156625710983
40,0.005262924713289895
45,0.005560194902335505
50,0.005709016799956227
55,0.005611707900459991
60,0.005777612716025792
65,0.00563622284638142
70,0.005525781841410118
75,0.005549833614029856
80,0.005455928193785878
85,0.005380372065895477
90,0.005460918401596049
95,0.0050119473603944965
100,0.003940214012182777
105,0.0004310061738402432
110,0.00024916164270417056
