Dist from origin [mm],mean of absValue [nT]
0,0.003140445889047157
5,0.005575909586587652
10,0.005466578538493235
15,0.005445235395791652
20,0.00541395709036753
25,0.0056210293093471855
30,0.00546603918539304
35,0.005539008819925199
40,0.005583566306192201
45,0.005554432661065998
50,0.005489674142557745
55,0.005298958115965646
60,0.00565422474965219
65,0.005433420476371384
70,0.005371467396272579
75,0.005620419367965411
80,0.005736535225395585
85,0.005606387285692184
90,0.005656481025522227
95,0.0056242780655200286
100,0.005684085474227283
105,0.0057433041671289126
110,0.0057081710144093875
115,0.005675030927652322
