r.F. (%);mH2O/msample (
0;0.0000               
5;0.1302               
10;0.2749              
15;0.4188              
20;0.5692              
25;0.7248              
30;0.8659              
35;0.9856              
40;1.0955              
45;1.1978              
50;1.3042              
55;1.4231              
60;1.5563              
65;1.7064              
70;1.8777              
75;2.0728              
80;2.3054              
85;2.6459              
90;3.1516              
95;4.0806              
90;3.8853              
85;3.3581              
80;2.9814              
75;2.7283              
70;2.4792              
65;2.2483              
60;2.0330              
55;1.8405              
50;1.6696              
45;1.5165              
40;1.3822              
35;1.2555              
30;1.0934              
25;0.9555              
20;0.8162              
15;0.6468              
10;0.4503              
5;0.2525               
0;0.209342666          
