r.F. (%);mH2O/msample (
0;-0.000002935         
5;0.140463595          
10;0.332307569         
15;0.535651727         
20;0.733469822         
25;0.916053908         
30;1.081835778         
35;1.238656465         
40;1.393162181         
45;1.541245715         
50;1.698066403         
55;1.873780249         
60;2.069507402         
65;2.285919951         
70;2.527573162         
75;2.798350216         
80;3.113410445         
85;3.571401528         
90;4.241697952         
95;5.451681570         
90;5.268798778         
85;4.613213628         
80;4.054931981         
75;3.690211868         
70;3.333407466         
65;2.993554633         
60;2.661169453         
55;2.373590183         
50;2.140972830         
45;1.938599467         
40;1.752430908         
35;1.566710408         
30;1.345518562         
25;1.170402128         
20;0.985652423         
15;0.787983680         
10;0.564551539         
5;0.322076886          
0;0.257332345          
